ORIGIN
BTR
EUG
DFW
PDX
CVG
MAF
EWR
SJC
RNO
MKE
ELP
IAD
LGB
BFL
SHV
MEM
JFK
MSP
ANC
CLE
ONT
CAK
OAK
GRR
ICT
AMA
OKC
MDT
PBI
CAE
ORF
FWA
RSW
DEN
ROC
PHL
BUF
OMA
TUL
SYR
LIT
SFO
JAN
GSP
LGA
SDF
LAS
BHM
CHS
HNL
IAH
SMF
MCI
MIA
DTW
MSY
RIC
LAX
SEA
FLL
TPA
LBB
PVD
JAX
HOU
ISP
AUS
SAT
SAN
CHA
ABQ
HRL
SNA
ALB
DAY
PIT
BOS
RDU
IND
MOB
DSM
COS
BUR
STL
PHX
CLT
ORD
CMH
SAV
SLC
MCO
DCA
PSP
OGG
ATL
BNA
CRP
BWI
TUS
BDL
HSV
SBA
GSO
